date,demand
01-01-04,488.07
02-01-04,582.02
03-01-04,575.58
04-01-04,542.39
05-01-04,600.26
06-01-04,544.76
07-01-04,695.58
08-01-04,718.88
09-01-04,699.09
10-01-04,598.39
11-01-04,544.36
12-01-04,667.74
13-01-04,674.28
14-01-04,681.79
15-01-04,695.50
16-01-04,682.89
17-01-04,590.05
18-01-04,550.86
19-01-04,711.75
20-01-04,734.03
21-01-04,722.39
22-01-04,725.80
23-01-04,703.55
24-01-04,606.03
25-01-04,552.42
26-01-04,682.86
27-01-04,694.50
28-01-04,699.76
29-01-04,711.35
30-01-04,711.93
31-01-04,613.69
01-02-04,550.74
02-02-04,683.24
03-02-04,692.09
04-02-04,686.52
05-02-04,686.04
06-02-04,680.31
07-02-04,602.87
08-02-04,545.33
09-02-04,678.39
10-02-04,700.26
11-02-04,694.08
12-02-04,690.11
13-02-04,686.13
14-02-04,607.22
15-02-04,544.83
16-02-04,688.46
17-02-04,706.47
18-02-04,714.23
19-02-04,717.09
20-02-04,739.04
21-02-04,629.80
22-02-04,561.91
23-02-04,692.53
24-02-04,727.64
25-02-04,725.34
26-02-04,720.36
27-02-04,717.22
28-02-04,628.51
29-02-04,572.77
01-03-04,731.02
02-03-04,758.58
03-03-04,756.64
04-03-04,730.81
05-03-04,698.10
06-03-04,598.84
07-03-04,539.99
08-03-04,673.55
09-03-04,700.55
10-03-04,700.85
11-03-04,691.06
12-03-04,676.79
13-03-04,606.64
14-03-04,533.91
15-03-04,666.19
16-03-04,672.67
17-03-04,673.35
18-03-04,658.03
19-03-04,579.05
20-03-04,547.02
21-03-04,492.95
22-03-04,628.62
23-03-04,665.33
24-03-04,689.58
25-03-04,685.94
26-03-04,696.49
27-03-04,621.88
28-03-04,557.89
29-03-04,698.22
30-03-04,705.02
31-03-04,678.71
01-04-04,673.54
02-04-04,663.87
03-04-04,567.76
04-04-04,503.98
05-04-04,613.95
06-04-04,616.83
07-04-04,609.97
08-04-04,544.73
09-04-04,494.79
10-04-04,513.50
11-04-04,484.61
12-04-04,556.81
13-04-04,637.39
14-04-04,657.86
15-04-04,655.78
16-04-04,655.32
17-04-04,564.84
18-04-04,495.97
19-04-04,617.71
20-04-04,645.13
21-04-04,649.02
22-04-04,635.78
23-04-04,612.72
24-04-04,542.64
25-04-04,476.70
26-04-04,606.78
27-04-04,625.01
28-04-04,636.92
29-04-04,634.70
30-04-04,622.13
01-05-04,490.26
02-05-04,485.34
03-05-04,626.58
04-05-04,638.11
05-05-04,644.99
06-05-04,641.27
07-05-04,636.59
08-05-04,555.43
09-05-04,497.74
10-05-04,633.21
11-05-04,656.03
12-05-04,648.67
13-05-04,636.51
14-05-04,618.17
15-05-04,532.67
16-05-04,476.44
17-05-04,601.48
18-05-04,630.97
19-05-04,633.97
20-05-04,635.86
21-05-04,631.45
22-05-04,536.26
23-05-04,473.01
24-05-04,611.42
25-05-04,632.29
26-05-04,634.17
27-05-04,637.89
28-05-04,636.07
29-05-04,548.90
30-05-04,483.75
31-05-04,607.22
01-06-04,660.32
02-06-04,669.15
03-06-04,668.12
04-06-04,659.09
05-06-04,575.84
06-06-04,512.12
07-06-04,642.83
08-06-04,667.28
09-06-04,673.36
10-06-04,685.64
11-06-04,687.52
12-06-04,587.09
13-06-04,496.48
14-06-04,626.85
15-06-04,646.84
16-06-04,661.96
17-06-04,684.46
18-06-04,690.15
19-06-04,575.09
20-06-04,501.64
21-06-04,646.81
22-06-04,675.55
23-06-04,679.70
24-06-04,656.13
25-06-04,680.24
26-06-04,608.26
27-06-04,553.30
28-06-04,706.77
29-06-04,738.51
30-06-04,751.95
01-07-04,734.62
02-07-04,705.55
03-07-04,610.04
04-07-04,545.33
05-07-04,688.61
06-07-04,697.56
07-07-04,669.70
08-07-04,653.16
09-07-04,652.88
10-07-04,569.30
11-07-04,497.21
12-07-04,637.97
13-07-04,666.47
14-07-04,677.60
15-07-04,697.53
16-07-04,692.13
17-07-04,590.92
18-07-04,522.53
19-07-04,681.12
20-07-04,707.34
21-07-04,716.45
22-07-04,732.61
23-07-04,742.48
24-07-04,655.37
25-07-04,573.08
26-07-04,712.80
27-07-04,729.43
28-07-04,733.13
29-07-04,716.73
30-07-04,703.63
31-07-04,618.90
01-08-04,553.28
02-08-04,671.71
03-08-04,681.44
04-08-04,660.83
05-08-04,660.11
06-08-04,659.23
07-08-04,585.04
08-08-04,517.93
09-08-04,612.98
10-08-04,608.49
11-08-04,606.50
12-08-04,606.80
13-08-04,617.29
14-08-04,564.96
15-08-04,516.26
16-08-04,575.47
17-08-04,611.32
18-08-04,607.35
19-08-04,607.99
20-08-04,604.43
21-08-04,548.21
22-08-04,504.96
23-08-04,631.87
24-08-04,667.75
25-08-04,671.27
26-08-04,663.90
27-08-04,657.25
28-08-04,583.64
29-08-04,526.14
30-08-04,661.07
31-08-04,676.95
