Month,Japan Demand,Japan Price,Korea Demand,Korea Price,India Demand,India Price,Thailand Demand,Thailand Price,Australia Demand,Australia Price,,,
1/1/2011,907.0737984,135,174.5806452,"1,825.35",314.2066774,60.43,128.1536774,38.91,295.4043716,1.31,,Demand,KBD
2/1/2011,981.2175357,138,194.2142857,"1,850.03",346.318,63.1,133.9096071,39.85,349.3576075,1.35,,Price,Local Currency Units per Liter
3/1/2011,964.8224913,148,176.1935484,"1,939.00",349.6199355,63.1,124.8463548,41.98,328.4017116,1.42,,,
4/1/2011,881.4382473,154.9,173.9333333,"1,951.21",341.7402333,63.1,129.5320667,43.15,316.0741773,1.43,,,
5/1/2011,929.6258832,149.8,186.4516129,"1,938.45",371.7704194,63.1,124.0347419,43.26,313.6993439,1.44,,,
6/1/2011,951.025356,151.2,176.6333333,"1,915.35",354.9901667,68.32,127.3725,42.48,311.704724,1.39,,,
7/1/2011,1029.27531,153,212.0967742,"1,934.65",333.4954839,68.61,124.3188065,42.9,322.3209048,1.4,,,
8/1/2011,1105.29767,149.8,210.2580645,"1,945.16",336.2195806,68.61,128.5189032,41.61,333.8419529,1.4,,,
9/1/2011,984.5118483,146.9,199.3,"1,944.40",340.2617,68.61,126.0935333,36.18,314.915769,1.42,,,
10/1/2011,954.396309,145.4,187.5483871,"1,978.34",344.612,71.93,116.7099355,35.42,311.5390332,1.46,,,
11/1/2011,970.8887567,146.2,195.5666667,"1,981.02",330.8787,71.93,116.4488667,35.52,344.7106603,1.41,,,
12/1/2011,1071.650837,146,200.3870968,"1,943.00",368.4134516,70.67,133.4900323,34.63,339.0092894,1.39,,,
1/1/2012,915.2043335,145.8,187.8387097,"1,955.08",320.1776774,70.67,128.5594839,37.27,301.576079,1.41,,,
2/1/2012,982.3635241,148.6,195.6896552,"1,986.54",360.7307586,70.67,131.3742414,39.58,342.7143372,1.42,,,
3/1/2012,987.12744,160.5,183.4193548,"2,029.95",389.4632903,70.67,129.8377742,41.67,323.3309571,1.47,,,
4/1/2012,936.8416157,156.4,183.6333333,"2,058.68",354.4215,70.67,128.8821,43.18,307.2063257,1.51,,,
5/1/2012,928.6018306,149.1,196.0967742,"2,035.76",355.5359032,70.67,128.2754194,42.13,325.8297103,1.48,,,
6/1/2012,929.924922,142.9,191.1,"1,968.78",381.4047333,78.58,133.0544667,40.51,311.0941747,1.41,,,
7/1/2012,1013.85852,142,207.7419355,"1,901.38",361.0941613,73.36,128.884129,41.49,320.1165642,1.32,,,
8/1/2012,1102.648768,150,204.6774194,"1,971.31",361.4243548,75.15,131.0146129,43.53,328.6987619,1.41,,,
9/1/2012,995.9992753,150.9,202.5333333,"2,024.45",348.877,75.15,127.6450667,43.05,313.1260543,1.44,,,
10/1/2012,967.7337468,148.9,202.3870968,"2,005.73",364.0659032,75.15,132.7392903,43.41,318.3701761,1.46,,,
11/1/2012,964.8945963,147,202.8,"1,955.99",376.7985333,74.73,140.4766667,42.97,332.3042643,1.4,,,
12/1/2012,1047.262884,149.1,194.6774194,"1,935.58",371.055,73.21,148.1599355,43.44,333.2543452,1.4,,,
1/1/2013,888.9015826,151.9,193.2258065,"1,924.55",357.9573226,74.31,139.1510323,43.98,305.5852439,1.39,,,
2/1/2013,949.5384,157.5,186.5357143,"1,952.49",389.3335714,74.02,139.6604643,45.39,335.6782054,1.46,,,
3/1/2013,942.51876,156.2,197.4193548,"1,986.49",394.9665161,74.14,142.6409677,45.85,324.5846961,1.46,,,
4/1/2013,941.2804687,153.6,195.5333333,"1,949.39",361.1033333,72.88,144.1248667,35.79,314.2915913,1.39,,,
5/1/2013,939.5689529,152.5,201.1290323,"1,899.89",466.591,69.79,143.2496774,35.03,310.3057874,1.36,,,
6/1/2013,943.136438,153.3,196.7,"1,901.97",402.3032333,76.9,141.1056667,36.2,311.2956643,1.44,,,
7/1/2013,1035.320203,160.8,200.7741935,"1,933.09",386.8492581,75.83,141.5452903,37.42,319.2507761,1.52,,,
8/1/2013,1099.484087,161.4,229.7741935,"1,947.65",408.1192258,78.65,144.9337742,37.01,323.4843519,1.5,,,
9/1/2013,970.79231,160.8,205.1,"1,934.56",350.3271,81.61,133.8931333,37.02,305.441771,1.51,,,
10/1/2013,934.6716806,160.4,198.4175289,"1,903.16",402.2032581,79.21,138.6437742,38.53,313.2850155,1.48,,,
11/1/2013,969.719236,156.7,203.5639413,"1,879.99",415.0982333,78.08,142.9717,36.21,323.2294717,1.46,,,
12/1/2013,1013.470772,159.2,201.2578616,"1,881.14",400.0019677,78.08,142.4989355,37.19,326.9223442,1.5,,,
1/1/2014,873.2654542,160.5,187.6648407,"1,886.35",380.7406774,78.61,137.1625806,38.25,298.7514632,1.55,,,
2/1/2014,885.2770643,159.4,190.7008086,"1,881.22",420.0720357,81.35,140.7162857,38.08,330.8757904,1.54,,,
3/1/2014,1004.754252,161.6,196.9973625,"1,880.81",409.6050968,82.12,143.1482258,38.29,308.2672187,1.53,,,
4/1/2014,845.8620073,167.1,193.9203354,"1,875.88",427.1255333,80.94,146.3892667,38.32,310.8652187,1.5,,,
5/1/2014,885.2479042,168.1,206.1270034,"1,869.49",463.2065161,80.05,144.101871,38.6,301.9449571,1.49,,,
6/1/2014,910.0262973,170,201.048218,"1,861.28",457.9757,80.05,141.2734,38.34,295.5184573,1.52,,,
7/1/2014,917.8903665,170.3,202.0693853,"1,856.59",407.3762903,81.68,146.8004839,38.17,312.2660355,1.52,,,
8/1/2014,1011.403391,169.3,220.531548,"1,842.01",439.9003548,80.57,149.3976452,37.54,314.6160606,1.45,,,
9/1/2014,924.1372833,167.7,207.7568134,"1,814.20",426.1019333,76.42,148.4020667,35.78,303.2090307,1.42,,,
10/1/2014,888.986599,162.4,202.2722662,"1,781.07",444.7156774,75.74,147.9164516,34.86,310.8818297,1.44,,,
11/1/2014,909.295609,159,199.1614256,"1,730.16",430.2247667,71.93,150.6664667,33.25,313.4617307,1.38,,,
12/1/2014,1010.835059,149.6,206.1270034,"1,652.23",448.3202903,70.99,162.5254839,29.96,329.5454771,1.25,,,
1/1/2015,838.2869671,137.5,197.5806452,"1,504.82",448.1827097,68.91,161.7950323,26.71,299.6752816,1.11,,,
2/1/2015,909.7725707,137.5,213.1428571,"1,439.09",496.4155357,66.37,178.8381786,26.85,331.4877175,1.13,,,
3/1/2015,900.8943806,140.9,207.6451613,"1,507.70",463.2890645,68.06,159.826871,28.21,313.3842352,1.29,,,
4/1/2015,897.7142513,142.4,210.9333333,"1,507.44",507.1369333,66.69,166.9156333,27.28,305.446803,1.31,,,
5/1/2015,884.4910752,145,203.2258065,"1,542.20",504.6733226,70.89,161.7950323,28.29,300.0553194,1.35,,,
6/1/2015,879.2889543,147.9,196.6333333,"1,580.03",502.4738667,74.17,163.8964333,28.64,299.4364983,1.41,,,
7/1/2015,967.2684897,144.5,207.4516129,"1,576.02",459.987129,74.51,167.374871,27.76,315.4457319,1.38,,,
8/1/2015,1032.468398,137.8,226.8709677,"1,544.49",485.4945806,69.46,167.1922581,26.85,314.3151552,1.33,,,
9/1/2015,915.061023,137.2,220.9,"1,511.49",534.3476333,66.17,164.8399333,25.81,308.173518,1.29,,,
10/1/2015,895.4683426,136,215.1935484,"1,498.67",509.1859677,68.19,167.8415484,26.04,311.6889787,1.29,,,
11/1/2015,896.191652,131.3,210.3666667,"1,473.58",504.2083,67.79,170,25.21,312.3169507,1.25,,,
12/1/2015,962.5996865,126.2,207.7419355,"1,434.19",501.2338065,67.57,181.6795484,24.01,331.7601658,1.22,,,
1/1/2016,837.4585132,118.7,210.0322581,"1,385.25",499.3351935,66.43,172.8938387,23.01,294.5655697,1.15,,,
2/1/2016,877.44242,116,208.3103448,"1,351.65",541.0961379,66.07,181.1303103,21.99,332.0243738,1.08,,,
3/1/2016,906.6308606,117.3,203.8709677,"1,350.13",563.1175806,62.77,178.575129,22.95,314.0755265,1.11,,,
4/1/2016,882.6079777,120.5,215.4333333,"1,361.74",567.5293333,65.81,186.8759,24.39,303.4017143,1.14,,,
5/1/2016,879.8886213,123.1,213.0322581,"1,388.74",573.1609677,66.7,179.4476129,24.79,297.5585952,1.16,,,
6/1/2016,871.3614577,126.5,207.1,"1,437.57",524.8793333,70.18,179.7472333,26.02,294.0239533,1.25,,,
7/1/2016,949.7780287,124.8,210.8064516,"1,437.15",527.7593548,69.33,183.1607419,23.66,311.1447923,1.17,,,
8/1/2016,1031.742613,125.2,251.4516129,"1,411.69",606.7306452,65.35,191.5609355,23.45,317.8515555,1.1,,,
9/1/2016,907.9399043,125.1,224.5333333,"1,408.20",516.065,68.76,181.7181,25.45,306.3466923,1.16,,,
10/1/2016,896.4075816,128.9,206.7419355,"1,416.60",579.4896774,71.95,175.8968065,25.44,307.8376726,1.19,,,
11/1/2016,900.829269,127,216.2333333,"1,426.95",576.0593333,73.17,184.4857,26.04,326.3010883,1.22,,,
12/1/2016,951.5706787,131.3,219.3870968,"1,454.61",540.6919355,73.98,192.2710968,26.56,331.0627874,1.25,,,
1/1/2017,830.7030532,132.9,195.3548387,"1,507.88",496.3909677,77.35,180.2998065,27.39,299.7757187,1.31,,,
2/1/2017,868.9506954,132,210.0357143,"1,516.65",577.6028571,77.61,184.6788929,30.74,336.6587714,1.29,,,
3/1/2017,880.2678474,135,211.7741935,"1,506.81",579.2145161,77.46,190.1811935,26.72,320.5286606,1.27,,,
4/1/2017,864.234049,136,210.8,"1,487.54",594.2553985,73.69,188.2806667,27.98,303.1524207,1.25,,,
5/1/2017,875.4803458,133.3,224.3548387,"1,481.18",662.8797609,76.21,187.2188065,26.59,314.3403152,1.26,,,
6/1/2017,868.1655087,132.2,222.5,"1,461.57",588.7179358,75.44,196.1222,26.43,306.231166,1.27,,,
7/1/2017,950.9741432,133.5,229.5806452,"1,438.62",590.4049846,71.58,189.6536452,25.38,316.5763087,1.19,,,
8/1/2017,990.3671958,134,229.7741935,"1,451.82",602.9728775,74.7,192.5551613,26.39,316.5846277,1.22,,,
9/1/2017,901.5800853,134.4,229.3333333,"1,479.66",609.4129583,78.32,190.6918333,28.07,310.936086,1.26,,,
10/1/2017,861.1896687,137.2,216.4193548,"1,504.49",612.997306,78.63,188.3753548,26.95,307.3578065,1.31,,,
11/1/2017,892.654785,141.7,220.5,"1,521.11",606.1504665,76.15,184.3389333,28.73,323.6857063,1.37,,,
12/1/2017,944.73284,142.5,216.7096774,"1,540.27",598.9791205,76.61,196.3291613,27.75,332.4366452,1.39,,,
1/1/2018,817.4236458,145.1,209.9354839,"1,551.76",576.7103723,71.38,188.7811613,27.94,302.1379181,1.37,,,
2/1/2018,870.0157271,144.8,214.5357143,"1,564.55",636.2383818,72.52,198.4045714,30.42,318.9373704,1.36,,,
3/1/2018,878.1627265,144.1,212.5806452,"1,557.85",661.4272862,72.44,194.6450645,26.75,319.6131613,1.34,,,
4/1/2018,854.688974,144.7,214.9666667,"1,551.33",649.3320333,74.16,197.5898667,28.27,300.7458667,1.41,,,
5/1/2018,862.2973174,151.5,213.0322581,"1,580.29",675.9887419,75.92,188.4768065,29.88,309.8332258,1.47,,,
6/1/2018,867.9157957,152.1,227.9666667,"1,609.08",676.3437,76.6,199.393,29.95,302.1296667,1.48,,,
7/1/2018,942.9205084,152.5,227.4193548,"1,610.91",637.2735484,83.71,192.534871,28.53,302.3460968,1.46,,,
8/1/2018,984.7496171,152.4,234.8709677,"1,618.29",650.1235806,84.76,196.6132258,29.6,307.8041935,1.45,,,
9/1/2018,877.112824,154.1,228.0666667,"1,637.58",634.7741667,88.76,188.8467667,30.54,298.775,1.52,,,
10/1/2018,835.291101,159.1,181.8709677,"1,681.12",641.7311613,87.64,192.7986452,30.61,308.2911613,1.58,,,
11/1/2018,848.223483,153.2,232.7666667,"1,580.91",659.3405667,79.49,198.3027333,28.74,325.5913667,1.42,,,
12/1/2018,919.5284042,146.2,223.7419355,"1,433.13",659.0112903,76.08,207.8743548,26.84,312.6332903,1.3,,,
1/1/2019,885.1744532,143.3,236.2903226,"1,351.19",653.177871,74.15,196.1465484,26.08,294.5343226,1.22,,,
2/1/2019,851.5604179,144.3,224.5357143,"1,343.77",687.4266071,76.47,202.3582857,26.69,309.2658214,1.29,,,
3/1/2019,831.5313042,146,220.0322581,"1,369.52",709.2557419,78.19,203.106129,28.2,303.3809032,1.37,,,
4/1/2019,854.933026,149.3,235.4333333,"1,424.39",699.2109151,78.5,205.3056,29.28,298.2298667,1.46,,,
5/1/2019,812.5689832,150.6,194.1290323,"1,517.22",753.2304037,77.55,198.4472681,29.13,299.2822581,1.49,,,
6/1/2019,817.3978703,144.9,236.6666667,"1,517.54",750.2624786,76.11,206.6067913,28.06,293.5543,1.42,,,
7/1/2019,871.4056432,145.28,217.1612903,"1,491.50",694.2065573,78.33,202.3557929,27.77,294.4531613,1.41,,,
8/1/2019,974.8925784,144.45,277.5806452,"1,493.72",708.5208112,77.76,202.5325216,27.25,300.1953226,1.4,,,
9/1/2019,913.918759,144.26,191.8666667,"1,529.27",674.5225218,78.07,194.6035843,27.26,294.4558667,1.43,,,
10/1/2019,800.0961161,147.9,226.8709677,"1,540.47",698.7189671,79.07,205.6462745,26.7,303.4417742,1.5,,,
11/1/2019,844.3888893,147.5,233.4,"1,535.65",720.7105915,79.35,203.8408687,27.66,309.9083,1.48,,,
12/1/2019,888.3632803,148.63,228.8387097,"1,548.47",680.5465567,80.47,209.0424687,26.58,306.8099677,1.51,,,
1/1/2020,758.005871,151.83,198.4516129,"1,568.44",675.8391013,80.61,201.2112158,26.12,281.8122903,1.49,,,
2/1/2020,819.1141655,149.33,203.8965517,"1,545.29",738.5666556,77.89,201.5424448,25.52,301.985069,1.43,,,
3/1/2020,764.1359832,143.18,186.8387097,"1,469.06",593.1726957,75.86,189.9598261,21.39,280.3513871,1.29,,,
4/1/2020,663.9807867,134.15,219.3666667,"1,323.66",276.6427478,76.31,154.4060813,17.26,170.459,1.06,,,
5/1/2020,628.7128919,128.6,251.7741935,"1,255.08",487.175163,76.31,177.9891445,18.84,222.9297742,1.05,,,
6/1/2020,782.238238,132.06,237.1666667,"1,322.88",648.9139506,83.01,200.049676,21.1,260.1334333,1.19,,,
7/1/2020,818.7266903,132.8,230.8387097,"1,360.25",621.9670932,87.19,217.9726455,21.36,260.7103548,1.23,,,
8/1/2020,890.6079987,135.25,236.8387097,"1,361.09",655.3369864,87.66,209.5965974,21.59,241.0490323,1.22,,,
9/1/2020,849.924299,135.9,230.1666667,"1,352.47",696.7710205,88.22,216.282279,21.41,255.1853,1.23,,,
10/1/2020,795.4660674,135.08,213.7419355,"1,333.28",730.4239689,87.74,205.4007616,21.44,266.1075806,1.22,,,
11/1/2020,802.669416,133.74,253.8666667,"1,319.59",757.8265827,88,211.9883057,21.39,289.9899667,1.21,,,
12/1/2020,866.9415694,135.73,211.4193548,"1,367.77",744.5254658,90.17,212.7363219,22.34,302.4272581,1.27,,,
1/1/2021,703.0978232,138.45,197.8064516,"1,441.84",718.3798851,91.5,171.7884219,23.67,268.7250323,1.28,,,
2/1/2021,778.7945529,142.05,231.9285714,"1,463.22",750.486346,95.3,202.4706071,25.05,288.86825,1.32,,,
3/1/2021,772.0376435,147.98,210,"1,513.27",753.8659136,97.47,212.977371,26.28,296.7053871,1.41,,,
4/1/2021,778.2728123,153.78,238,"1,534.52",678.3946186,96.9,188.0919667,26.54666667,288.8577667,1.451670799,,,
5/1/2021,718.5963832,155.25,229.6129032,"1,541.51",547.8420718,98.63,163.8788484,27.36064516,290.029871,1.42575991,,,
6/1/2021,767.999565,157.43,248.1666667,"1,577.33",684.9790849,102.68,183.9430827,28.02666667,275.2084667,1.423852316,,,
7/1/2021,814.5874645,160.1,235.2258065,"1,629.26",723.7666295,107.1,160.7306019,29.20258065,233.5821935,1.535231506,,,
8/1/2021,832.2396394,161.3,240,"1,645.75",740.9225516,101.74,154.2064516,28.5516129,213.7179677,1.525905623,,,
9/1/2021,801.979403,160.93,252.6,"1,642.68",738.663566,107.31,171.3752433,29.41666667,225.3707,1.555145212,,,
10/1/2021,779.9267239,164.95,216.7419355,1712.32,756.8266116,111.3670968,179.6708065,31.91810897,250.5854839,1.495872019,,,
11/1/2021,762.1073027,171.18,229.1,1737.39,752.127901,110.5553333,192.005395,32.22,290.7238,1.668317168,,,
12/1/2021,843.4705358,168.23,261.9032258,1646.37,775.1293548,109.98,213.21538,30.56612903,298.2474516,1.566970052,,,
1/1/2021,797.5373624,170.38,243.876129,1631.81,680.473871,109.98,187.0654807,32.86290323,285.7793811,1.642803804,,,
